country	name	city	type	website	facebook	source
CZ	Wakeboard Sec	Sec	system2			waketricks
CZ	Wake Ejpovice	Ejpovice	system2			waketricks
CZ	Wake Hostivar	Praha 15	system2			waketricks
CZ	WakeVary	Karlovy Vary	system2			waketricks
CZ	Wake Karvanky	Sobeslav	system2			waketricks
CZ	Wakepark Trebic	Trebic	system2			waketricks
CZ	Wake park Mnichovo Hradiste	Mnichovo Hradiste	system2			waketricks
CZ	Wakepark Hnacov	Hnacov	system2			waketricks
SK	Wakelake Bratislava	Bratislava	fullsize			waketricks
SK	Wakepark Banska Bystrica	Banska Bystrica	system2			waketricks
SK	Propaganda Freestyle Park	Liptovsky Mikulas	system2			waketricks
SK	WakeSoul Beach	Piestany	fullsize			waketricks
SK	Trixen Park Kosice	Kosice	fullsize			waketricks
SK	WakeVinnay	Vinne	system2			waketricks
HU	Wakeboard Cable WCP Gyor	Ikreny	both			waketricks
HU	Omsk Wakeboard Center	Budakalasz	fullsize			waketricks
HU	Central Wakeboard Park Pecs	Pecs	both			waketricks
HU	Lupa Wakeboard and Water Ski Lake	Budakalasz	both			waketricks
HU	Venice Beach Cable Park	Velence	fullsize			waketricks
HU	DH Wake Dunaharaszti	Dunaharaszti	fullsize			waketricks
HU	Vonyarcvashegyi vizisi es wakeboard palya	Vonyarcvashegy	system2			waketricks
HU	Bamboo Sziget Vizisi Wakeboard	Siofok	fullsize			waketricks
HU	Fured Wake	Balatonfured	fullsize			waketricks
HU	Rebel Beach Wakeboard	Martonvasar	system2			waketricks
HU	Vice Beach Vizisport Centrum	Hejokeresztur	fullsize			waketricks
HU	Sun City Szabadidokozpont	Hodmezovasarhely	both			waketricks
HU	Rukkel Wake	Taksony	fullsize			waketricks
HU	Levelek wakeboard	Levelek	unknown			waketricks
HU	Lake Board Gyomro	Gyomro	system2			waketricks
SI	Wakepark Dooplek	Spodnji Duplek	fullsize			waketricks
SI	Green Lake Kidricevo	Kidricevo	fullsize			waketricks
SI	Wake Park Smartinsko jezero	Smartno v Rozni dolini	system2			waketricks
HR	Wakeboard Cable Krk	Krk	fullsize			waketricks
HR	Wakepark Cable Pag	Kolan	fullsize			waketricks
HR	Ski Lift Porec	Porec	fullsize			waketricks
HR	Cable Park Split	Kastel Stafilic	fullsize			waketricks
HR	Wake Park Pula	Pula	fullsize			waketricks
HR	Wakeboard Park Pomer	Medulin	system2			waketricks
RS	Aqua Ski Belgrade	Beograd	fullsize			waketricks
RO	A2Wake	Sarulesti-Gara	both			waketricks
RO	Lacul lui Binder	Sibiu	both			waketricks
RO	TRQZ Lake	Crivina	system2			waketricks
BG	Wake Park Burgas	Burgas	fullsize			waketricks
BG	WakePark Varna	Varna	system2			waketricks
BG	Wake Park Welldoers	Kalekovets	system2			waketricks
BG	Wakeboard Alternative	Bratushkovo	system2			waketricks
LT	313 Cable Park	Uzpelkiai	fullsize			waketricks
LT	Vanduo Marse	Zemaitkiemis	fullsize			waketricks
LT	Splash wakepark	Suderve	fullsize			waketricks
LT	Wake Way	Nemezis	fullsize			waketricks
LT	Wake Inn Zarasai	Zarasai	fullsize			waketricks
LT	Mad Bay Wakepark Klaipeda	Zemgrindziai	both			waketricks
LT	Wake Inn Vilnius	Vilnius	system2			waketricks
LT	AWAY Elektrenai	Elektrenai	system2			waketricks
LT	Wake Up Kaunas Lampedziai	Kaunas	system2			waketricks
LT	Dock7 Akademija	Akademija	system2			waketricks
LT	DOCK7 Kulautuva	Kulautuva	system2			waketricks
LT	Wake Jonava	Jonava	system2			waketricks
LT	WakePark Palanga	Palanga	system2			waketricks
LT	Wake Village Gribze	Klaipeda	system2			waketricks
LT	Aukstatyris	Klaipeda	system2			waketricks
LT	Flip Point Moletai	Moletai	system2			waketricks
LT	UWP Ukmerges Wake Parkas	Ukmerge	system2			waketricks
LT	Elev8 Cable Park	Elektrenai	system2			waketricks
LT	Birstonas Wake Park	Birstonas	system2			waketricks
LT	FOX wakepark	Siauliai	system2			waketricks
LT	Liberty Beach	Taurage	system2			waketricks
LT	WakePond Anyksciai	Anyksciai	system2			waketricks
FR	Wakepark de Torcy	Torcy	fullsize			likeepic
FR	Bretigny Wakepark	Bretigny-sur-Orge	fullsize			likeepic
FR	Bois-le-Roi Wake Park	Bois-le-Roi	fullsize			likeepic
FR	Wakepark de Tigery	Tigery	system2			likeepic
FR	Wakepark de Sequedin	Sequedin	fullsize			likeepic
FR	Wakepark d'Aubigny	Aubigny-au-Bac	both			likeepic
FR	Le Lac Park Reims	Reims	fullsize			likeepic
FR	Wakepark de Pont-a-Mousson	Pont-a-Mousson	system2			likeepic
FR	Teleski Nautique d'Aubiere	Aubiere	fullsize			likeepic
FR	Cap d'Agde Wakepark	Agde	fullsize			likeepic
FR	Wakepark Saint-Cyr-sur-Mer	Saint-Cyr-sur-Mer	fullsize			likeepic
FR	Hossegor Wakepark	Soorts-Hossegor	unknown			likeepic
FR	Beziers Wakepark	Beziers	unknown			likeepic
FR	Argeles Wakepark	Argeles-sur-Mer	unknown			likeepic
FR	WAM Park Montauban	Bressols	fullsize	wampark.fr		wampark
FR	WAM Park Orange	Piolenc	fullsize	wampark.fr		wampark
